schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US20170003482A1.zmx
num_fields	3
vignetting_edge	0
target.efl_mm	3.797
seed_baseline.efl_y_mm	3.62252
seed_baseline.max_lateral_color_um	0.615114
seed_baseline.max_rms_spot_diameter_um	9.57171
seed_baseline.max_rms_wavefront_error_waves	0.365371
seed_baseline.max_distortion_pct	2.00747
seed_baseline.fno	2.32
seed_baseline.epd	1.56143
seed_baseline.maximh_mm	3.6863
config_pre_aut.efl_y_mm	3.62252
config_pre_aut.max_lateral_color_um	0.615114
config_pre_aut.max_rms_spot_diameter_um	9.57171
config_pre_aut.max_rms_wavefront_error_waves	0.365371
config_pre_aut.max_distortion_pct	2.00747
config_pre_aut.fno	2.32
config_pre_aut.epd	1.56143
config_pre_aut.maximh_mm	3.6863
post_aut.efl_y_mm	3.797
post_aut.max_lateral_color_um	0.138804
post_aut.max_rms_spot_diameter_um	2.80413
post_aut.max_rms_wavefront_error_waves	0.0421121
post_aut.max_distortion_pct	5.36275
post_aut.fno	2.32
post_aut.epd	1.63664
post_aut.maximh_mm	3.86386
efl_target_deviation_pct	1.972518e-07
aut_converged	1
