schema	atelier-codev-readout-v1
status	ok
source_zmx	US20170045714A1.zmx
units	M
aperture_type	FNO
f_number	1.75
entrance_pupil_diameter_mm	2.2301
num_surfaces	20
num_fields	3
num_wavelengths	3
num_zooms	1
stop_surface	1
field_type	ANG
reference_wavelength_index	2
image_height_y_mm	2.75304
surface.1.radius_y_mm	1.000000e+18
surface.1.thickness_mm	-0.279561
surface.1.semi_diameter_mm	1.11505
surface.1.glass	
surface.1.nd	1
surface.1.vd	0
surface.1.surface_type	SPH
surface.1.is_stop	1
surface.1.asphere.K	0
surface.1.asphere.A	0
surface.1.asphere.B	0
surface.1.asphere.C	0
surface.1.asphere.D	0
surface.1.asphere.E	0
surface.1.asphere.F	0
surface.1.asphere.G	0
surface.1.asphere.H	0
surface.1.asphere.J	0
surface.2.radius_y_mm	1.76667
surface.2.thickness_mm	0.65
surface.2.semi_diameter_mm	1.34633
surface.2.glass	544000.559000
surface.2.nd	1.544
surface.2.vd	55.9
surface.2.surface_type	ASP
surface.2.is_stop	0
surface.2.asphere.K	0.17606
surface.2.asphere.A	0.00336891
surface.2.asphere.B	-0.0212251
surface.2.asphere.C	0.0532004
surface.2.asphere.D	-0.0658271
surface.2.asphere.E	0.043209
surface.2.asphere.F	-0.011704
surface.2.asphere.G	-1.943085e-18
surface.2.asphere.H	0
surface.2.asphere.J	0
surface.3.radius_y_mm	26.1297
surface.3.thickness_mm	0.0856077
surface.3.semi_diameter_mm	1.34217
surface.3.glass	
surface.3.nd	1
surface.3.vd	0
surface.3.surface_type	ASP
surface.3.is_stop	0
surface.3.asphere.K	-50
surface.3.asphere.A	-0.133827
surface.3.asphere.B	0.364269
surface.3.asphere.C	-0.493183
surface.3.asphere.D	0.378866
surface.3.asphere.E	-0.15437
surface.3.asphere.F	0.024065
surface.3.asphere.G	-2.244859e-18
surface.3.asphere.H	0
surface.3.asphere.J	0
surface.4.radius_y_mm	2.53613
surface.4.thickness_mm	0.22
surface.4.semi_diameter_mm	1.2687
surface.4.glass	639000.235000
surface.4.nd	1.639
surface.4.vd	23.5
surface.4.surface_type	ASP
surface.4.is_stop	0
surface.4.asphere.K	-35.839
surface.4.asphere.A	-0.171984
surface.4.asphere.B	0.403489
surface.4.asphere.C	-0.510287
surface.4.asphere.D	0.382137
surface.4.asphere.E	-0.15562
surface.4.asphere.F	0.026062
surface.4.asphere.G	-2.079017e-18
surface.4.asphere.H	0
surface.4.asphere.J	0
surface.5.radius_y_mm	1.40764
surface.5.thickness_mm	0.322713
surface.5.semi_diameter_mm	1.16834
surface.5.glass	
surface.5.nd	1
surface.5.vd	0
surface.5.surface_type	ASP
surface.5.is_stop	0
surface.5.asphere.K	-13.306
surface.5.asphere.A	0.115961
surface.5.asphere.B	-0.237815
surface.5.asphere.C	0.488496
surface.5.asphere.D	-0.554074
surface.5.asphere.E	0.32179
surface.5.asphere.F	-0.069334
surface.5.asphere.G	-2.103666e-18
surface.5.asphere.H	0
surface.5.asphere.J	0
surface.6.radius_y_mm	4.58881
surface.6.thickness_mm	0.366
surface.6.semi_diameter_mm	1.17144
surface.6.glass	544000.559000
surface.6.nd	1.544
surface.6.vd	55.9
surface.6.surface_type	ASP
surface.6.is_stop	0
surface.6.asphere.K	-24.164
surface.6.asphere.A	-0.0139105
surface.6.asphere.B	-0.012404
surface.6.asphere.C	0.0292383
surface.6.asphere.D	-0.0504084
surface.6.asphere.E	0.02655
surface.6.asphere.F	-0.0022918
surface.6.asphere.G	-2.126106e-18
surface.6.asphere.H	0
surface.6.asphere.J	0
surface.7.radius_y_mm	-14.6267
surface.7.thickness_mm	0.0354334
surface.7.semi_diameter_mm	1.22149
surface.7.glass	
surface.7.nd	1
surface.7.vd	0
surface.7.surface_type	ASP
surface.7.is_stop	0
surface.7.asphere.K	90
surface.7.asphere.A	-0.0165839
surface.7.asphere.B	-0.000552081
surface.7.asphere.C	0.000118828
surface.7.asphere.D	0.000101901
surface.7.asphere.E	-1.495332e-17
surface.7.asphere.F	-5.782221e-18
surface.7.asphere.G	-2.160176e-18
surface.7.asphere.H	0
surface.7.asphere.J	0
surface.8.radius_y_mm	-11.9114
surface.8.thickness_mm	0.147
surface.8.semi_diameter_mm	1.22991
surface.8.glass	544000.559000
surface.8.nd	1.544
surface.8.vd	55.9
surface.8.surface_type	ASP
surface.8.is_stop	0
surface.8.asphere.K	27.907
surface.8.asphere.A	-0.00319772
surface.8.asphere.B	-0.00755616
surface.8.asphere.C	-0.000161585
surface.8.asphere.D	-0.000052
surface.8.asphere.E	-1.250881e-17
surface.8.asphere.F	-5.130100e-18
surface.8.asphere.G	-2.059273e-18
surface.8.asphere.H	0
surface.8.asphere.J	0
surface.9.radius_y_mm	8.22022
surface.9.thickness_mm	0.0879907
surface.9.semi_diameter_mm	1.26173
surface.9.glass	
surface.9.nd	1
surface.9.vd	0
surface.9.surface_type	ASP
surface.9.is_stop	0
surface.9.asphere.K	31.895
surface.9.asphere.A	-0.0121208
