schema	atelier-codev-readout-v1
status	ok
source_zmx	US20170045714A1.zmx
units	M
aperture_type	FNO
f_number	1.75
entrance_pupil_diameter_mm	2.19935
num_surfaces	20
num_fields	3
num_wavelengths	3
num_zooms	1
stop_surface	1
field_type	ANG
reference_wavelength_index	2
image_height_y_mm	2.71508
surface.1.radius_y_mm	1.000000e+18
surface.1.thickness_mm	-0.137805
surface.1.semi_diameter_mm	1.09968
surface.1.glass	
surface.1.nd	1
surface.1.vd	0
surface.1.surface_type	SPH
surface.1.is_stop	1
surface.1.asphere.K	0
surface.1.asphere.A	0
surface.1.asphere.B	0
surface.1.asphere.C	0
surface.1.asphere.D	0
surface.1.asphere.E	0
surface.1.asphere.F	0
surface.1.asphere.G	0
surface.1.asphere.H	0
surface.1.asphere.J	0
surface.2.radius_y_mm	1.76517
surface.2.thickness_mm	0.65
surface.2.semi_diameter_mm	1.09968
surface.2.glass	544000.559000
surface.2.nd	1.544
surface.2.vd	55.9
surface.2.surface_type	ASP
surface.2.is_stop	0
surface.2.asphere.K	0.17606
surface.2.asphere.A	0.00296115
surface.2.asphere.B	-0.0214933
surface.2.asphere.C	0.0522009
surface.2.asphere.D	-0.0660392
surface.2.asphere.E	0.0432811
surface.2.asphere.F	-0.0116333
surface.2.asphere.G	0.000062
surface.2.asphere.H	0
surface.2.asphere.J	0
surface.3.radius_y_mm	23.9777
surface.3.thickness_mm	0.0821859
surface.3.semi_diameter_mm	1.02718
surface.3.glass	
surface.3.nd	1
surface.3.vd	0
surface.3.surface_type	ASP
surface.3.is_stop	0
surface.3.asphere.K	-50
surface.3.asphere.A	-0.133759
surface.3.asphere.B	0.36505
surface.3.asphere.C	-0.492801
surface.3.asphere.D	0.379227
surface.3.asphere.E	-0.154511
surface.3.asphere.F	0.0238959
surface.3.asphere.G	-0.000131605
surface.3.asphere.H	0
surface.3.asphere.J	0
surface.4.radius_y_mm	2.35028
surface.4.thickness_mm	0.22
surface.4.semi_diameter_mm	1.03083
surface.4.glass	639000.235000
surface.4.nd	1.639
surface.4.vd	23.5
surface.4.surface_type	ASP
surface.4.is_stop	0
surface.4.asphere.K	-35.839
surface.4.asphere.A	-0.172124
surface.4.asphere.B	0.403368
surface.4.asphere.C	-0.512744
surface.4.asphere.D	0.380902
surface.4.asphere.E	-0.155577
surface.4.asphere.F	0.0262097
surface.4.asphere.G	0.00024619
surface.4.asphere.H	0
surface.4.asphere.J	0
surface.5.radius_y_mm	1.42164
surface.5.thickness_mm	0.276368
surface.5.semi_diameter_mm	1.02977
surface.5.glass	
surface.5.nd	1
surface.5.vd	0
surface.5.surface_type	ASP
surface.5.is_stop	0
surface.5.asphere.K	-13.306
surface.5.asphere.A	0.117478
surface.5.asphere.B	-0.237809
surface.5.asphere.C	0.488805
surface.5.asphere.D	-0.553207
surface.5.asphere.E	0.321627
surface.5.asphere.F	-0.0690299
surface.5.asphere.G	0.00022349
surface.5.asphere.H	0
surface.5.asphere.J	0
surface.6.radius_y_mm	5.48314
surface.6.thickness_mm	0.366
surface.6.semi_diameter_mm	1.05869
surface.6.glass	544000.559000
surface.6.nd	1.544
surface.6.vd	55.9
surface.6.surface_type	ASP
surface.6.is_stop	0
surface.6.asphere.K	-24.164
surface.6.asphere.A	-0.0150617
surface.6.asphere.B	-0.0128829
surface.6.asphere.C	0.0291105
surface.6.asphere.D	-0.0503873
surface.6.asphere.E	0.0266759
surface.6.asphere.F	-0.00217994
surface.6.asphere.G	-0.000318524
surface.6.asphere.H	0
surface.6.asphere.J	0
surface.7.radius_y_mm	-14.4726
surface.7.thickness_mm	0.0373489
surface.7.semi_diameter_mm	1.13611
surface.7.glass	
surface.7.nd	1
surface.7.vd	0
surface.7.surface_type	ASP
surface.7.is_stop	0
surface.7.asphere.K	90
surface.7.asphere.A	-0.0163195
surface.7.asphere.B	-0.000367682
surface.7.asphere.C	-0.000002
surface.7.asphere.D	-0.000079
surface.7.asphere.E	-0.000054
surface.7.asphere.F	-0.000032
surface.7.asphere.G	-0.000025
surface.7.asphere.H	0
surface.7.asphere.J	0
surface.8.radius_y_mm	-11.7758
surface.8.thickness_mm	0.147
surface.8.semi_diameter_mm	1.15093
surface.8.glass	544000.559000
surface.8.nd	1.544
surface.8.vd	55.9
surface.8.surface_type	ASP
surface.8.is_stop	0
surface.8.asphere.K	27.907
surface.8.asphere.A	-0.00269771
surface.8.asphere.B	-0.00772459
surface.8.asphere.C	0.000012
surface.8.asphere.D	0.00001
surface.8.asphere.E	0.00005
surface.8.asphere.F	0.000025
surface.8.asphere.G	0.000022
surface.8.asphere.H	0
surface.8.asphere.J	0
surface.9.radius_y_mm	8.28959
surface.9.thickness_mm	0.0705708
surface.9.semi_diameter_mm	1.20241
surface.9.glass	
surface.9.nd	1
surface.9.vd	0
surface.9.surface_type	ASP
surface.9.is_stop	0
surface.9.asphere.K	31.895
surface.9.asphere.A	-0.0117699
surface.9.asphere.B	-0.0261889
