schema	atelier-codev-readout-v1
status	ok
source_zmx	US20170045714A1.zmx
units	M
aperture_type	FNO
f_number	1.75
entrance_pupil_diameter_mm	2.23707
num_surfaces	20
num_fields	3
num_wavelengths	3
num_zooms	1
stop_surface	1
field_type	ANG
reference_wavelength_index	2
image_height_y_mm	2.76164
surface.1.radius_y_mm	1.000000e+18
surface.1.thickness_mm	-0.318033
surface.1.semi_diameter_mm	1.11854
surface.1.glass	
surface.1.nd	1
surface.1.vd	0
surface.1.surface_type	SPH
surface.1.is_stop	1
surface.1.asphere.K	0
surface.1.asphere.A	0
surface.1.asphere.B	0
surface.1.asphere.C	0
surface.1.asphere.D	0
surface.1.asphere.E	0
surface.1.asphere.F	0
surface.1.asphere.G	0
surface.1.asphere.H	0
surface.1.asphere.J	0
surface.2.radius_y_mm	1.76062
surface.2.thickness_mm	0.65
surface.2.semi_diameter_mm	1.29776
surface.2.glass	544112.528685
surface.2.nd	1.54411
surface.2.vd	52.8685
surface.2.surface_type	ASP
surface.2.is_stop	0
surface.2.asphere.K	0.17606
surface.2.asphere.A	0.00465916
surface.2.asphere.B	-0.0214699
surface.2.asphere.C	0.0523393
surface.2.asphere.D	-0.0659347
surface.2.asphere.E	0.043209
surface.2.asphere.F	-0.011704
surface.2.asphere.G	1.170209e-09
surface.2.asphere.H	0
surface.2.asphere.J	0
surface.3.radius_y_mm	21.6601
surface.3.thickness_mm	0.076125
surface.3.semi_diameter_mm	1.29827
surface.3.glass	
surface.3.nd	1
surface.3.vd	0
surface.3.surface_type	ASP
surface.3.is_stop	0
surface.3.asphere.K	-50
surface.3.asphere.A	-0.135038
surface.3.asphere.B	0.364856
surface.3.asphere.C	-0.493046
surface.3.asphere.D	0.379076
surface.3.asphere.E	-0.15437
surface.3.asphere.F	0.024065
surface.3.asphere.G	-1.332695e-09
surface.3.asphere.H	0
surface.3.asphere.J	0
surface.4.radius_y_mm	2.55063
surface.4.thickness_mm	0.22
surface.4.semi_diameter_mm	1.23455
surface.4.glass	638983.233072
surface.4.nd	1.63898
surface.4.vd	23.3072
surface.4.surface_type	ASP
surface.4.is_stop	0
surface.4.asphere.K	-35.839
surface.4.asphere.A	-0.17203
surface.4.asphere.B	0.403245
surface.4.asphere.C	-0.512354
surface.4.asphere.D	0.381144
surface.4.asphere.E	-0.15562
surface.4.asphere.F	0.026062
surface.4.asphere.G	3.341526e-09
surface.4.asphere.H	0
surface.4.asphere.J	0
surface.5.radius_y_mm	1.46052
surface.5.thickness_mm	0.309413
surface.5.semi_diameter_mm	1.15004
surface.5.glass	
surface.5.nd	1
surface.5.vd	0
surface.5.surface_type	ASP
surface.5.is_stop	0
surface.5.asphere.K	-13.306
surface.5.asphere.A	0.114936
surface.5.asphere.B	-0.239684
surface.5.asphere.C	0.488933
surface.5.asphere.D	-0.553714
surface.5.asphere.E	0.32179
surface.5.asphere.F	-0.069334
surface.5.asphere.G	-3.842835e-12
surface.5.asphere.H	0
surface.5.asphere.J	0
surface.6.radius_y_mm	4.98035
surface.6.thickness_mm	0.366
surface.6.semi_diameter_mm	1.15305
surface.6.glass	543981.556507
surface.6.nd	1.54398
surface.6.vd	55.6507
surface.6.surface_type	ASP
surface.6.is_stop	0
surface.6.asphere.K	-24.164
surface.6.asphere.A	-0.0149962
surface.6.asphere.B	-0.0130877
surface.6.asphere.C	0.0289477
surface.6.asphere.D	-0.0504739
surface.6.asphere.E	0.02655
surface.6.asphere.F	-0.0022918
surface.6.asphere.G	-1.164388e-12
surface.6.asphere.H	0
surface.6.asphere.J	0
surface.7.radius_y_mm	-12.5601
surface.7.thickness_mm	0.0135929
surface.7.semi_diameter_mm	1.20493
surface.7.glass	
surface.7.nd	1
surface.7.vd	0
surface.7.surface_type	ASP
surface.7.is_stop	0
surface.7.asphere.K	90
surface.7.asphere.A	-0.0161031
surface.7.asphere.B	-0.000374386
surface.7.asphere.C	0.000086
surface.7.asphere.D	0.000110254
surface.7.asphere.E	-1.218361e-11
surface.7.asphere.F	-7.468021e-12
surface.7.asphere.G	-3.670282e-12
surface.7.asphere.H	0
surface.7.asphere.J	0
surface.8.radius_y_mm	-10.6066
surface.8.thickness_mm	0.147
surface.8.semi_diameter_mm	1.20968
surface.8.glass	544010.554320
surface.8.nd	1.54401
surface.8.vd	55.432
surface.8.surface_type	ASP
surface.8.is_stop	0
surface.8.asphere.K	27.907
surface.8.asphere.A	-0.00291666
surface.8.asphere.B	-0.00808257
surface.8.asphere.C	-0.000084
surface.8.asphere.D	-0.000105452
surface.8.asphere.E	-1.944748e-11
surface.8.asphere.F	-1.056442e-12
surface.8.asphere.G	-1.211242e-12
surface.8.asphere.H	0
surface.8.asphere.J	0
surface.9.radius_y_mm	7.88108
surface.9.thickness_mm	0.0838863
surface.9.semi_diameter_mm	1.24942
surface.9.glass	
surface.9.nd	1
surface.9.vd	0
surface.9.surface_type	ASP
surface.9.is_stop	0
surface.9.asphere.K	31.895
