schema	atelier-codev-readout-v1
status	ok
source_zmx	US20170045714A1.zmx
units	M
aperture_type	FNO
f_number	1.75
entrance_pupil_diameter_mm	2.18058
num_surfaces	20
num_fields	3
num_wavelengths	3
num_zooms	1
stop_surface	1
field_type	ANG
reference_wavelength_index	2
image_height_y_mm	2.6919
surface.1.radius_y_mm	1.000000e+18
surface.1.thickness_mm	-0.0682907
surface.1.semi_diameter_mm	1.09029
surface.1.glass	
surface.1.nd	1
surface.1.vd	0
surface.1.surface_type	SPH
surface.1.is_stop	1
surface.1.asphere.K	0
surface.1.asphere.A	0
surface.1.asphere.B	0
surface.1.asphere.C	0
surface.1.asphere.D	0
surface.1.asphere.E	0
surface.1.asphere.F	0
surface.1.asphere.G	0
surface.1.asphere.H	0
surface.1.asphere.J	0
surface.2.radius_y_mm	1.76626
surface.2.thickness_mm	0.65
surface.2.semi_diameter_mm	1.10361
surface.2.glass	544299.554898
surface.2.nd	1.5443
surface.2.vd	55.4898
surface.2.surface_type	ASP
surface.2.is_stop	0
surface.2.asphere.K	0.17606
surface.2.asphere.A	0.003379
surface.2.asphere.B	-0.0214172
surface.2.asphere.C	0.0523793
surface.2.asphere.D	-0.0661172
surface.2.asphere.E	0.0432154
surface.2.asphere.F	-0.0117029
surface.2.asphere.G	0.000005
surface.2.asphere.H	0
surface.2.asphere.J	0
surface.3.radius_y_mm	25.8973
surface.3.thickness_mm	0.0819998
surface.3.semi_diameter_mm	1.09893
surface.3.glass	
surface.3.nd	1
surface.3.vd	0
surface.3.surface_type	ASP
surface.3.is_stop	0
surface.3.asphere.K	-50
surface.3.asphere.A	-0.133488
surface.3.asphere.B	0.364885
surface.3.asphere.C	-0.493048
surface.3.asphere.D	0.378834
surface.3.asphere.E	-0.154568
surface.3.asphere.F	0.0240538
surface.3.asphere.G	-0.000008
surface.3.asphere.H	0
surface.3.asphere.J	0
surface.4.radius_y_mm	2.42336
surface.4.thickness_mm	0.22
surface.4.semi_diameter_mm	1.09168
surface.4.glass	638821.224897
surface.4.nd	1.63882
surface.4.vd	22.4897
surface.4.surface_type	ASP
surface.4.is_stop	0
surface.4.asphere.K	-35.839
surface.4.asphere.A	-0.172166
surface.4.asphere.B	0.403657
surface.4.asphere.C	-0.51173
surface.4.asphere.D	0.381189
surface.4.asphere.E	-0.155493
surface.4.asphere.F	0.0260645
surface.4.asphere.G	0.000008
surface.4.asphere.H	0
surface.4.asphere.J	0
surface.5.radius_y_mm	1.46392
surface.5.thickness_mm	0.29707
surface.5.semi_diameter_mm	1.06542
surface.5.glass	
surface.5.nd	1
surface.5.vd	0
surface.5.surface_type	ASP
surface.5.is_stop	0
surface.5.asphere.K	-13.306
surface.5.asphere.A	0.117413
surface.5.asphere.B	-0.237819
surface.5.asphere.C	0.488938
surface.5.asphere.D	-0.553823
surface.5.asphere.E	0.32178
surface.5.asphere.F	-0.0693462
surface.5.asphere.G	-0.000011
surface.5.asphere.H	0
surface.5.asphere.J	0
surface.6.radius_y_mm	5.81378
surface.6.thickness_mm	0.366
surface.6.semi_diameter_mm	1.08717
surface.6.glass	544078.559760
surface.6.nd	1.54408
surface.6.vd	55.976
surface.6.surface_type	ASP
surface.6.is_stop	0
surface.6.asphere.K	-24.164
surface.6.asphere.A	-0.0151431
surface.6.asphere.B	-0.0128981
surface.6.asphere.C	0.0289731
surface.6.asphere.D	-0.0506498
surface.6.asphere.E	0.0265148
surface.6.asphere.F	-0.00227763
surface.6.asphere.G	0.000012
surface.6.asphere.H	0
surface.6.asphere.J	0
surface.7.radius_y_mm	-14.4937
surface.7.thickness_mm	0.0369752
surface.7.semi_diameter_mm	1.15327
surface.7.glass	
surface.7.nd	1
surface.7.vd	0
surface.7.surface_type	ASP
surface.7.is_stop	0
surface.7.asphere.K	90
surface.7.asphere.A	-0.0163419
surface.7.asphere.B	-0.000364161
surface.7.asphere.C	-0.000005
surface.7.asphere.D	-0.000004
surface.7.asphere.E	-0.000012
surface.7.asphere.F	0.000017
surface.7.asphere.G	-0.000006
surface.7.asphere.H	0
surface.7.asphere.J	0
surface.8.radius_y_mm	-11.778
surface.8.thickness_mm	0.147
surface.8.semi_diameter_mm	1.16463
surface.8.glass	541779.561181
surface.8.nd	1.54178
surface.8.vd	56.1181
surface.8.surface_type	ASP
surface.8.is_stop	0
surface.8.asphere.K	27.907
surface.8.asphere.A	-0.00255872
surface.8.asphere.B	-0.00786045
surface.8.asphere.C	0.000004
surface.8.asphere.D	0.000003
surface.8.asphere.E	0.000013
surface.8.asphere.F	0.000002
surface.8.asphere.G	-0.000005
surface.8.asphere.H	0
surface.8.asphere.J	0
surface.9.radius_y_mm	8.45609
surface.9.thickness_mm	0.0870924
surface.9.semi_diameter_mm	1.20815
surface.9.glass	
surface.9.nd	1
surface.9.vd	0
surface.9.surface_type	ASP
surface.9.is_stop	0
surface.9.asphere.K	31.895
surface.9.asphere.A	-0.0117239
surface.9.asphere.B	-0.0261709
