candidate_zmx	experiment	variable	status	evidence_dir	notes
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\asphere\US20170003482A1_target3.797_optimized.zmx	A	fictitious baseline	ok	0000-US20170003482A1_target3_797_optimized-323ccb3f-0e463b0455bb\A	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\asphere\US20170003482A1_target3.797_optimized.zmx	B	catalog snap + glass frozen	ok	0000-US20170003482A1_target3_797_optimized-323ccb3f-0e463b0455bb\B	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\asphere\US20170003482A1_target3.797_optimized.zmx	C	B + short geometry AUT	ok	0000-US20170003482A1_target3_797_optimized-323ccb3f-0e463b0455bb\C	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\asphere\US20170003482A1_target3.797_optimized.zmx	D	catalog value conflict fail-closed	built-not-run:pending-real-machine-verification	0000-US20170003482A1_target3_797_optimized-323ccb3f-0e463b0455bb\D	Python nd/vd recorded; CODE V GLD readback grammar is pending verification
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\asphere\US20170003482A1_target3.797_optimized.zmx	E	no-op AUT on fictitious glass	ok	0000-US20170003482A1_target3_797_optimized-323ccb3f-0e463b0455bb\E	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\asphere\US20170003482A1_target3.797_optimized.zmx	F	short versus converged-budget control	ok	0000-US20170003482A1_target3_797_optimized-323ccb3f-0e463b0455bb\F	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\both\US20170003482A1_target3.797_optimized.zmx	A	fictitious baseline	ok	0001-US20170003482A1_target3_797_optimized-323ccb3f-2e1489518f9f\A	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\both\US20170003482A1_target3.797_optimized.zmx	B	catalog snap + glass frozen	ok	0001-US20170003482A1_target3_797_optimized-323ccb3f-2e1489518f9f\B	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\both\US20170003482A1_target3.797_optimized.zmx	C	B + short geometry AUT	ok	0001-US20170003482A1_target3_797_optimized-323ccb3f-2e1489518f9f\C	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\both\US20170003482A1_target3.797_optimized.zmx	D	catalog value conflict fail-closed	built-not-run:pending-real-machine-verification	0001-US20170003482A1_target3_797_optimized-323ccb3f-2e1489518f9f\D	Python nd/vd recorded; CODE V GLD readback grammar is pending verification
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\both\US20170003482A1_target3.797_optimized.zmx	E	no-op AUT on fictitious glass	ok	0001-US20170003482A1_target3_797_optimized-323ccb3f-2e1489518f9f\E	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\both\US20170003482A1_target3.797_optimized.zmx	F	short versus converged-budget control	ok	0001-US20170003482A1_target3_797_optimized-323ccb3f-2e1489518f9f\F	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\asphere\US20170045714A1_target3.797_vig020_optimized.zmx	A	fictitious baseline	ok	0002-US20170045714A1_target3_797_vig020_optimized-6f094e2c-c44a1991964a\A	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\asphere\US20170045714A1_target3.797_vig020_optimized.zmx	B	catalog snap + glass frozen	ok	0002-US20170045714A1_target3_797_vig020_optimized-6f094e2c-c44a1991964a\B	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\asphere\US20170045714A1_target3.797_vig020_optimized.zmx	C	B + short geometry AUT	ok	0002-US20170045714A1_target3_797_vig020_optimized-6f094e2c-c44a1991964a\C	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\asphere\US20170045714A1_target3.797_vig020_optimized.zmx	D	catalog value conflict fail-closed	built-not-run:pending-real-machine-verification	0002-US20170045714A1_target3_797_vig020_optimized-6f094e2c-c44a1991964a\D	Python nd/vd recorded; CODE V GLD readback grammar is pending verification
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\asphere\US20170045714A1_target3.797_vig020_optimized.zmx	E	no-op AUT on fictitious glass	ok	0002-US20170045714A1_target3_797_vig020_optimized-6f094e2c-c44a1991964a\E	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\asphere\US20170045714A1_target3.797_vig020_optimized.zmx	F	short versus converged-budget control	ok	0002-US20170045714A1_target3_797_vig020_optimized-6f094e2c-c44a1991964a\F	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\both\US20170045714A1_target3.797_vig020_optimized.zmx	A	fictitious baseline	ok	0003-US20170045714A1_target3_797_vig020_optimized-6f094e2c-6aa403b39c7b\A	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\both\US20170045714A1_target3.797_vig020_optimized.zmx	B	catalog snap + glass frozen	ok	0003-US20170045714A1_target3_797_vig020_optimized-6f094e2c-6aa403b39c7b\B	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\both\US20170045714A1_target3.797_vig020_optimized.zmx	C	B + short geometry AUT	ok	0003-US20170045714A1_target3_797_vig020_optimized-6f094e2c-6aa403b39c7b\C	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\both\US20170045714A1_target3.797_vig020_optimized.zmx	D	catalog value conflict fail-closed	built-not-run:pending-real-machine-verification	0003-US20170045714A1_target3_797_vig020_optimized-6f094e2c-6aa403b39c7b\D	Python nd/vd recorded; CODE V GLD readback grammar is pending verification
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\both\US20170045714A1_target3.797_vig020_optimized.zmx	E	no-op AUT on fictitious glass	ok	0003-US20170045714A1_target3_797_vig020_optimized-6f094e2c-6aa403b39c7b\E	
D:\atelier\.planning\loop\candidates-2026-07-09\US20170045714A1\both\US20170045714A1_target3.797_vig020_optimized.zmx	F	short versus converged-budget control	ok	0003-US20170045714A1_target3_797_vig020_optimized-6f094e2c-6aa403b39c7b\F	
