schema	atelier-codev-readout-v1
status	ok
source_zmx	US20170003482A1_target3.797_optimized.zmx
units	I
aperture_type	EPD
f_number	0
entrance_pupil_diameter_mm	0
num_surfaces	1
num_fields	1
num_wavelengths	1
num_zooms	1
stop_surface	0
field_type	ANG
reference_wavelength_index	1
image_height_y_mm	0
surface.1.radius_y_mm	1.000000e+18
surface.1.thickness_mm	0
surface.1.semi_diameter_mm	0
surface.1.glass	
surface.1.nd	1
surface.1.vd	0
surface.1.surface_type	SPH
surface.1.is_stop	0
surface.1.asphere.K	0
surface.1.asphere.A	0
surface.1.asphere.B	0
surface.1.asphere.C	0
surface.1.asphere.D	0
surface.1.asphere.E	0
surface.1.asphere.F	0
surface.1.asphere.G	0
surface.1.asphere.H	0
surface.1.asphere.J	0
wavelength.1.wavelength_nm	0
wavelength.1.weight	0
field.1.definition_type	ANG
field.1.x	0
field.1.y	0
field.1.vuy	0
field.1.vly	0
field.1.vux	0
field.1.vlx	0
