schema	atelier-codev-readout-v1
status	ok
source_zmx	cand_flagship_both.zmx
units	M
aperture_type	FNO
f_number	2.32
entrance_pupil_diameter_mm	1.642
num_surfaces	18
num_fields	3
num_wavelengths	1
num_zooms	1
stop_surface	3
field_type	ANG
reference_wavelength_index	1
image_height_y_mm	3.87652
surface.1.radius_y_mm	3.33114
surface.1.thickness_mm	0.32
surface.1.semi_diameter_mm	0.950707
surface.1.glass	546000.401540
surface.1.nd	1.546
surface.1.vd	0
surface.1.surface_type	ASP
surface.1.is_stop	0
surface.1.asphere.K	-4.0388
surface.1.asphere.A	-0.0199146
surface.1.asphere.B	0.0434168
surface.1.asphere.C	-0.0372317
surface.1.asphere.D	0.0214233
surface.1.asphere.E	0.00434292
surface.1.asphere.F	-0.00568602
surface.1.asphere.G	-0.0005119
surface.1.asphere.H	0
surface.1.asphere.J	0
surface.2.radius_y_mm	3.16721
surface.2.thickness_mm	0.0703533
surface.2.semi_diameter_mm	0.797853
surface.2.glass	
surface.2.nd	1
surface.2.vd	0
surface.2.surface_type	ASP
surface.2.is_stop	0
surface.2.asphere.K	-40.479
surface.2.asphere.A	-0.1055
surface.2.asphere.B	0.116033
surface.2.asphere.C	0.0095871
surface.2.asphere.D	-0.161723
surface.2.asphere.E	0.193419
surface.2.asphere.F	-0.0888549
surface.2.asphere.G	0.00002
surface.2.asphere.H	0
surface.2.asphere.J	0
surface.3.radius_y_mm	1.000000e+18
surface.3.thickness_mm	0.00105092
surface.3.semi_diameter_mm	0.791334
surface.3.glass	
surface.3.nd	1
surface.3.vd	0
surface.3.surface_type	ASP
surface.3.is_stop	1
surface.3.asphere.K	0
surface.3.asphere.A	-0.0282292
surface.3.asphere.B	0.019437
surface.3.asphere.C	0.142148
surface.3.asphere.D	0.401882
surface.3.asphere.E	3.214064e-09
surface.3.asphere.F	1.823980e-09
surface.3.asphere.G	2.012306e-09
surface.3.asphere.H	0
surface.3.asphere.J	0
surface.4.radius_y_mm	2.08062
surface.4.thickness_mm	0.378
