schema	atelier-codev-target-v1
status	ok
mode	target
stage	probe
source_zmx	US20170003482A1.zmx
num_fields	3
vignetting_edge	0
target.efl_mm	3.62125
target.f_number	1.8
seed_baseline.efl_y_mm	3.62252
seed_baseline.max_lateral_color_um	0.615114
seed_baseline.max_rms_spot_diameter_um	9.57171
seed_baseline.max_rms_wavefront_error_waves	0.365371
seed_baseline.max_distortion_pct	2.00747
seed_baseline.fno	2.32
seed_baseline.epd_mm	1.56143
seed_baseline.maximh_mm	3.6863
config_pre_aut.efl_y_mm	3.62252
config_pre_aut.max_lateral_color_um	0.615114
config_pre_aut.max_rms_spot_diameter_um	249.59
config_pre_aut.max_rms_wavefront_error_waves	0
config_pre_aut.max_distortion_pct	2.00747
config_pre_aut.fno	1.8
config_pre_aut.epd_mm	2.01251
config_pre_aut.maximh_mm	3.6863
post_aut.efl_y_mm	3.62122
post_aut.max_lateral_color_um	1274.96
post_aut.max_rms_spot_diameter_um	46.7897
post_aut.max_rms_wavefront_error_waves	0
post_aut.max_distortion_pct	12.0988
post_aut.fno	1.8
post_aut.epd_mm	2.01179
post_aut.maximh_mm	3.68498
efl_target_deviation_pct	0.000830255
aut_converged	1
