schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US-12443014-B2-e1.zmx
num_fields	2
vignetting_edge	0.3
target.efl_mm	17.3271
target.f_number	3.55162
seed_baseline.efl_y_mm	17.3376
seed_baseline.max_lateral_color_um	0
seed_baseline.max_rms_spot_diameter_um	0
seed_baseline.max_rms_wavefront_error_waves	0
seed_baseline.max_distortion_pct	1.34282
seed_baseline.fno	2.8
seed_baseline.epd_mm	6.19201
seed_baseline.maximh_mm	2.40579
config_pre_aut.efl_y_mm	17.3376
config_pre_aut.max_lateral_color_um	0
config_pre_aut.max_rms_spot_diameter_um	3153.68
config_pre_aut.max_rms_wavefront_error_waves	17.9803
config_pre_aut.max_distortion_pct	1.34282
config_pre_aut.fno	3.55162
config_pre_aut.epd_mm	4.88161
config_pre_aut.maximh_mm	2.40579
post_aut.efl_y_mm	17.3271
post_aut.max_lateral_color_um	0
post_aut.max_rms_spot_diameter_um	98.1363
post_aut.max_rms_wavefront_error_waves	1.95012
post_aut.max_distortion_pct	2.15782
post_aut.fno	3.55162
post_aut.epd_mm	4.87865
post_aut.maximh_mm	2.40434
efl_target_deviation_pct	4.371407e-11
aut_converged	1
