schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US10281683B2.zmx
num_fields	3
vignetting_edge	0
target.efl_mm	4.70603
seed_baseline.efl_y_mm	4.69944
seed_baseline.max_lateral_color_um	1.64791
seed_baseline.max_rms_spot_diameter_um	15.834
seed_baseline.max_rms_wavefront_error_waves	0.203769
seed_baseline.max_distortion_pct	1.92075
seed_baseline.fno	1.68
seed_baseline.epd_mm	2.79729
seed_baseline.maximh_mm	4.0137
config_pre_aut.efl_y_mm	4.69944
config_pre_aut.max_lateral_color_um	1.64791
config_pre_aut.max_rms_spot_diameter_um	15.834
config_pre_aut.max_rms_wavefront_error_waves	0.203769
config_pre_aut.max_distortion_pct	1.92075
config_pre_aut.fno	1.68
config_pre_aut.epd_mm	2.79729
config_pre_aut.maximh_mm	4.0137
post_aut.efl_y_mm	4.69993
post_aut.max_lateral_color_um	1.38082
post_aut.max_rms_spot_diameter_um	127.902
post_aut.max_rms_wavefront_error_waves	2.12597
post_aut.max_distortion_pct	2.20061
post_aut.fno	1.68
post_aut.epd_mm	2.79758
post_aut.maximh_mm	4.01412
efl_target_deviation_pct	0.129614
aut_converged	1
