schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US20140111876A1.zmx
num_fields	3
vignetting_edge	0.2
target.efl_mm	4.18515
target.f_number	3
seed_baseline.efl_y_mm	4.18665
seed_baseline.max_lateral_color_um	0.365694
seed_baseline.max_rms_spot_diameter_um	111.042
seed_baseline.max_rms_wavefront_error_waves	0
seed_baseline.max_distortion_pct	2.04701
seed_baseline.fno	2.07
seed_baseline.epd_mm	2.02254
seed_baseline.maximh_mm	3.22415
config_pre_aut.efl_y_mm	4.18665
config_pre_aut.max_lateral_color_um	0.365694
config_pre_aut.max_rms_spot_diameter_um	38.2309
config_pre_aut.max_rms_wavefront_error_waves	0.539816
config_pre_aut.max_distortion_pct	2.04701
config_pre_aut.fno	3
config_pre_aut.epd_mm	1.39555
config_pre_aut.maximh_mm	3.22415
post_aut.efl_y_mm	4.18515
post_aut.max_lateral_color_um	0.250537
post_aut.max_rms_spot_diameter_um	3.75788
post_aut.max_rms_wavefront_error_waves	0.0390478
post_aut.max_distortion_pct	2.37773
post_aut.fno	3
post_aut.epd_mm	1.39505
post_aut.maximh_mm	3.223
efl_target_deviation_pct	3.410402e-11
aut_converged	1
