schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US20210165194A1.zmx
num_fields	3
vignetting_edge	0
target.efl_mm	2.4086
seed_baseline.efl_y_mm	2.40615
seed_baseline.max_lateral_color_um	1.69873
seed_baseline.max_rms_spot_diameter_um	8.7515
seed_baseline.max_rms_wavefront_error_waves	0.198182
seed_baseline.max_distortion_pct	4.52595
seed_baseline.fno	2
seed_baseline.epd_mm	1.20308
seed_baseline.maximh_mm	2.62585
config_pre_aut.efl_y_mm	2.40615
config_pre_aut.max_lateral_color_um	1.69873
config_pre_aut.max_rms_spot_diameter_um	8.7515
config_pre_aut.max_rms_wavefront_error_waves	0.198182
config_pre_aut.max_distortion_pct	4.52595
config_pre_aut.fno	2
config_pre_aut.epd_mm	1.20308
config_pre_aut.maximh_mm	2.62585
post_aut.efl_y_mm	2.4086
post_aut.max_lateral_color_um	2.89188
post_aut.max_rms_spot_diameter_um	104.205
post_aut.max_rms_wavefront_error_waves	1.7988
post_aut.max_distortion_pct	4.05414
post_aut.fno	2
post_aut.epd_mm	1.2043
post_aut.maximh_mm	2.62852
efl_target_deviation_pct	6.416309e-12
aut_converged	1
