schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US20210165194A1.zmx
num_fields	3
vignetting_edge	0
target.efl_mm	2.4086
target.f_number	2.25849
seed_baseline.efl_y_mm	2.40615
seed_baseline.max_lateral_color_um	1.69873
seed_baseline.max_rms_spot_diameter_um	8.7515
seed_baseline.max_rms_wavefront_error_waves	0.198182
seed_baseline.max_distortion_pct	4.52595
seed_baseline.fno	2
seed_baseline.epd_mm	1.20308
seed_baseline.maximh_mm	2.62585
config_pre_aut.efl_y_mm	2.40615
config_pre_aut.max_lateral_color_um	1.69873
config_pre_aut.max_rms_spot_diameter_um	5.91891
config_pre_aut.max_rms_wavefront_error_waves	0.16995
config_pre_aut.max_distortion_pct	4.52595
config_pre_aut.fno	2.25849
config_pre_aut.epd_mm	1.06538
config_pre_aut.maximh_mm	2.62585
post_aut.efl_y_mm	2.4086
post_aut.max_lateral_color_um	0.324426
post_aut.max_rms_spot_diameter_um	8.90848
post_aut.max_rms_wavefront_error_waves	0.435016
post_aut.max_distortion_pct	3.39439
post_aut.fno	2.25849
post_aut.epd_mm	1.06647
post_aut.maximh_mm	2.62852
efl_target_deviation_pct	3.687534e-14
aut_converged	1
