schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US20210165194A1.zmx
num_fields	3
vignetting_edge	0.3
target.efl_mm	2.4086
target.f_number	1.86434
seed_baseline.efl_y_mm	2.40615
seed_baseline.max_lateral_color_um	1.69873
seed_baseline.max_rms_spot_diameter_um	8.7515
seed_baseline.max_rms_wavefront_error_waves	0.198182
seed_baseline.max_distortion_pct	4.52595
seed_baseline.fno	2
seed_baseline.epd_mm	1.20308
seed_baseline.maximh_mm	2.62585
config_pre_aut.efl_y_mm	2.40615
config_pre_aut.max_lateral_color_um	1.69873
config_pre_aut.max_rms_spot_diameter_um	8.15425
config_pre_aut.max_rms_wavefront_error_waves	0.230848
config_pre_aut.max_distortion_pct	4.52595
config_pre_aut.fno	1.86434
config_pre_aut.epd_mm	1.29062
config_pre_aut.maximh_mm	2.62585
post_aut.efl_y_mm	2.4086
post_aut.max_lateral_color_um	0.456649
post_aut.max_rms_spot_diameter_um	10.6428
post_aut.max_rms_wavefront_error_waves	0.469568
post_aut.max_distortion_pct	2.56253
post_aut.fno	1.86434
post_aut.epd_mm	1.29193
post_aut.maximh_mm	2.62852
efl_target_deviation_pct	5.624301e-09
aut_converged	1
