schema	atelier-codev-target-v1
status	ok
mode	target
stage	probe
source_zmx	US20170003482A1.zmx
num_fields	3
vignetting_edge	0
target.efl_mm	3.62125
seed_baseline.efl_y_mm	3.62252
seed_baseline.max_lateral_color_um	0.615114
seed_baseline.max_rms_spot_diameter_um	9.57171
seed_baseline.max_rms_wavefront_error_waves	0.365371
seed_baseline.max_distortion_pct	2.00747
seed_baseline.fno	2.32
seed_baseline.epd_mm	1.56143
seed_baseline.maximh_mm	3.6863
config_pre_aut.efl_y_mm	3.62252
config_pre_aut.max_lateral_color_um	0.615114
config_pre_aut.max_rms_spot_diameter_um	9.57171
config_pre_aut.max_rms_wavefront_error_waves	0.365371
config_pre_aut.max_distortion_pct	2.00747
config_pre_aut.fno	2.32
config_pre_aut.epd_mm	1.56143
config_pre_aut.maximh_mm	3.6863
post_aut.efl_y_mm	3.62125
post_aut.max_lateral_color_um	0.187001
post_aut.max_rms_spot_diameter_um	4.63671
post_aut.max_rms_wavefront_error_waves	0.0739167
post_aut.max_distortion_pct	1.1658
post_aut.fno	2.32
post_aut.epd_mm	1.56089
post_aut.maximh_mm	3.68502
efl_target_deviation_pct	2.976363e-07
aut_converged	1
