case_id	category	scenario	fov_deg	n_pieces	native_efl_mm	native_fnum	direction	target_f_number	source_zmx	rationale	outcome	aut_converged	efl_target_deviation_pct	post_aut_fno	refl_count	miss_count	aperture_conflict_matched	error_kind	error_detail	preflight	duration_seconds	lis_path
US10281683B2	wide	smartphone-wide	81.000	6	4.7060	1.680	native	nan	US10281683B2.zmx	native control arm: same macro, no FNO command	TIR	True	0.135579	1.68	13	2	None				6.50	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US10281683B2\atelier_codev_target_probe_native.lis
US20180143405A1	wide	smartphone-ultrawide	95.000	6	3.0730	1.860	native	nan	US20180143405A1.zmx	native control arm: same macro, no FNO command	timeout	None	None	None	13	1	None	timeout	CODE V batch run exceeded its hard timeout		90.12	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US20180143405A1\atelier_codev_target_probe_native.lis
US10330891B2	wide	smartphone-ultrawide	100.000	6	2.4164	2.080	native	nan	US10330891B2.zmx	native control arm: same macro, no FNO command	TIR	True	1.327982e-08	2.08	7	0	Scaled down SPC data				3.33	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US10330891B2\atelier_codev_target_probe_native.lis
US20210165194A1	wide	smartphone-ultrawide	95.000	5	2.4086	2.000	native	nan	US20210165194A1.zmx	native control arm: same macro, no FNO command	TIR	True	0.115358	2.0	3	2	None				6.30	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US20210165194A1\atelier_codev_target_probe_native.lis
US20170003482A1	wide	smartphone-ultrawide	91.000	7	3.6213	2.320	native	nan	US20170003482A1.zmx	native control arm: same macro, no FNO command	ok	True	2.976363e-07	2.32	0	0	None				3.34	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US20170003482A1\atelier_codev_target_probe_native.lis
US8908290B1	wide	smartphone-ultrawide	91.200	6	3.9503	2.000	native	nan	US8908290B1.zmx	native control arm: same macro, no FNO command	chief-ray-missing	True	0.000241748	2.0	0	6	None				5.39	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US8908290B1\atelier_codev_target_probe_native.lis
US20140111876A1	wide	smartphone-wide	75.200	6	4.1851	2.070	native	nan	US20140111876A1.zmx	native control arm: same macro, no FNO command	TIR	True	0.00095484	2.07	7	0	Scaled down SPC data				3.33	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US20140111876A1\atelier_codev_target_probe_native.lis
US10310222B2	wide	smartphone-wide	76.200	6	4.6091	1.800	native	nan	US10310222B2.zmx	native control arm: same macro, no FNO command	TIR	True	0.0862177	1.8	11	0	Scaled down SPC data				3.33	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US10310222B2\atelier_codev_target_probe_native.lis
US-12443014-B2-e1	tele	smartphone-telephoto	15.800	5	17.3271	2.800	native	nan	US-12443014-B2-e1.zmx	native control arm: same macro, no FNO command	TIR	True	0.0175193	2.8	45	11	Scaled down SPC data				2.33	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US-12443014-B2-e1\atelier_codev_target_probe_native.lis
US-12372756-B2-e8	tele	smartphone-telephoto	15.900	5	9.9705	2.450	native	nan	US-12372756-B2-e8.zmx	native control arm: same macro, no FNO command	TIR	True	0.0402268	2.45	44	5	Scaled down nominal system cannot be traced				2.30	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US-12372756-B2-e8\atelier_codev_target_probe_native.lis
US-20260160979-A1-e3	tele	smartphone-telephoto	19.000	8	13.4203	1.680	native	nan	US-20260160979-A1-e3.zmx	native control arm: same macro, no FNO command	ok	True	8e-05	1.68	0	0	None				2.30	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US-20260160979-A1-e3\atelier_codev_target_probe_native.lis
US-11940597-B2-e6	tele	smartphone-telephoto	18.800	4	19.6731	3.570	native	nan	US-11940597-B2-e6.zmx	native control arm: same macro, no FNO command	TIR	True	0.14732	3.57	1	0	None				2.30	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\native-control-2026-07-11\US-11940597-B2-e6\atelier_codev_target_probe_native.lis
